filename,movie_name,hint,category,difficulty
moon_landing.webp,Moon Landing (1969),One small step for man,Space,Easy
declaration_independence.webp,Signing of the Declaration of Independence (1776),July 4th in Philadelphia,Founding,Easy
boston_tea_party.webp,Boston Tea Party (1773),No taxation without representation,Revolution,Medium
pearl_harbor.webp,Pearl Harbor Attack (1941),A date which will live in infamy,War,Easy
Wright_Brothers.webp,Wright Brothers First Flight (1903),12 seconds at Kitty Hawk,Innovation,Medium
mlk_dream.webp,MLK I Have a Dream Speech (1963),March on Washington,Civil Rights,Easy
lewis_clark_expedition.webp,Lewis and Clark Expedition (1804),Journey to the Pacific,Exploration,Hard
gold_rush.webp,Gold Rush (1849),Eureka in California,Expansion,Medium
berlin_wall.webp,Fall of the Berlin Wall (1989),Mr. Gorbachev tear down this wall,Cold War,Medium
Iwo_jima.webp,Raising the Flag on Iwo Jima (1945),Iconic WWII photograph,War,Easy
